epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.030447717756032944,-23.92379379272461
0,9,0.03814943879842758,,-0.12673865258693695,,,
1,19,,,,,0.004013653378933668,-2.0760881900787354
1,19,0.004340826068073511,,0.8632516860961914,,,
2,29,,,,,0.0010664036963135004,0.6232926249504089
2,29,0.002679633442312479,,0.919172465801239,,,
3,39,,,,,0.0019073050934821367,0.048478275537490845
3,39,0.001505224034190178,,0.9531015157699585,,,
4,49,,0.0016847281949594617,,0.9527601003646851,,
4,49,,,,,0.003215968841686845,-1.323691487312317
4,49,0.0010814483975991607,,0.9677954912185669,,,
5,59,,,,,0.0009999630274251103,0.501201331615448
5,59,0.0012010873761028051,,0.9632471799850464,,,
6,69,,,,,0.0006946801440790296,0.6883562803268433
6,69,0.000826982781291008,,0.9751994013786316,,,
7,79,,,,,0.0004974604235030711,0.7514946460723877
7,79,0.0008987829205580056,,0.9724711179733276,,,
8,89,,,,,0.0007059843046590686,0.4680069088935852
8,89,0.0012802962446585298,,0.9609012603759766,,,
9,99,,0.0016407959628850222,,0.945462167263031,,
9,99,,,,,0.0035488461144268513,-2.0442955493927
9,99,0.0009146981756202877,,0.9710566401481628,,,
10,109,,,,,0.009249410592019558,-6.2253193855285645
10,109,0.002323874505236745,,0.9283362627029419,,,
11,119,,,,,0.0007186970906332135,0.4188295006752014
11,119,0.0016576088964939117,,0.9487981796264648,,,
12,129,,,,,0.001327928272075951,-0.09317589551210403
12,129,0.0008406272390857339,,0.9746806025505066,,,
13,139,,,,,0.0005265715881250799,0.8093704581260681
13,139,0.0012942197499796748,,0.960361659526825,,,
14,149,,0.003986445255577564,,0.8694263696670532,,
14,149,,,,,0.0003149029507767409,0.8775414228439331
14,149,0.0012727450812235475,,0.9592742919921875,,,
