epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.031586065888404846,-25.01717185974121
0,9,0.03662892431020737,,-0.02839188650250435,,,
1,19,,,,,0.004622898995876312,-2.444847583770752
1,19,0.004227743484079838,,0.8733469843864441,,,
2,29,,,,,0.0011279076570644975,0.6475573182106018
2,29,0.002557500032708049,,0.9259014129638672,,,
3,39,,,,,0.0016434063436463475,0.19807982444763184
3,39,0.001375451683998108,,0.9593263864517212,,,
4,49,,0.0015019328566268086,,0.9611435532569885,,
4,49,,,,,0.002750032814219594,-1.0327316522598267
4,49,0.0009714761981740594,,0.9725688099861145,,,
5,59,,,,,0.0008342380751855671,0.513500988483429
5,59,0.0011021867394447327,,0.9676911234855652,,,
6,69,,,,,0.0004922326188534498,0.7766598463058472
6,69,0.0010358219733461738,,0.9704705476760864,,,
7,79,,,,,0.0003946402866858989,0.763143002986908
7,79,0.0011939825490117073,,0.9652280807495117,,,
8,89,,,,,0.0006507530924864113,0.4204719364643097
8,89,0.0010225448058918118,,0.9704165458679199,,,
9,99,,0.0012734320480376482,,0.9591513276100159,,
9,99,,,,,0.0034612652380019426,-2.1019437313079834
9,99,0.0009237072663381696,,0.9722321629524231,,,
10,109,,,,,0.008449005894362926,-5.712322235107422
10,109,0.002107378328219056,,0.9386577606201172,,,
11,119,,,,,0.0005367810372263193,0.5471675395965576
11,119,0.0014557940885424614,,0.9575842618942261,,,
12,129,,,,,0.0009909276850521564,0.20694361627101898
12,129,0.0007774321129545569,,0.9777845144271851,,,
13,139,,,,,0.00038543398841284215,0.8755074143409729
13,139,0.0013881732011213899,,0.9596719741821289,,,
14,149,,0.003964999224990606,,0.8769934177398682,,
14,149,,,,,0.00020859696087427437,0.9418396949768066
14,149,0.0013058151816949248,,0.9602907299995422,,,
