epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.03299929201602936,-25.628686904907227
0,9,0.036760393530130386,,-0.036321353167295456,,,
1,19,,,,,0.005328040104359388,-2.906360149383545
1,19,0.004308653529733419,,0.8706573247909546,,,
2,29,,,,,0.0010824507335200906,0.6727441549301147
2,29,0.002465820638462901,,0.9292123913764954,,,
3,39,,,,,0.0021817164961248636,-0.13430796563625336
3,39,0.0013884950894862413,,0.9589438438415527,,,
4,49,,0.0018356754444539547,,0.9511750340461731,,
4,49,,,,,0.0035866540856659412,-1.5525872707366943
4,49,0.001144538400694728,,0.9677031636238098,,,
5,59,,,,,0.0007877893513068557,0.5990845561027527
5,59,0.001127226511016488,,0.9672036170959473,,,
6,69,,,,,0.0005292501300573349,0.7719781398773193
6,69,0.0008630448719486594,,0.9754008054733276,,,
7,79,,,,,0.00034493280691094697,0.8414111733436584
7,79,0.0009326704894192517,,0.9728407859802246,,,
8,89,,,,,0.0007275938405655324,0.365890234708786
8,89,0.0012018538545817137,,0.9651883840560913,,,
9,99,,0.00160309299826622,,0.9504770636558533,,
9,99,,,,,0.0034398832358419895,-1.936726689338684
9,99,0.0008824553224258125,,0.9733679890632629,,,
10,109,,,,,0.009133381769061089,-6.013497352600098
10,109,0.0022114315070211887,,0.935528576374054,,,
11,119,,,,,0.0006011433433741331,0.45059314370155334
11,119,0.0015394191723316908,,0.9551389813423157,,,
12,129,,,,,0.0009879781864583492,0.17790654301643372
12,129,0.0007972191087901592,,0.976988673210144,,,
13,139,,,,,0.0004735486872959882,0.8181707859039307
13,139,0.001422915724106133,,0.9584749937057495,,,
14,149,,0.004349696449935436,,0.8636508584022522,,
14,149,,,,,0.0002152908855350688,0.9216341972351074
14,149,0.0013555290643125772,,0.9586489796638489,,,
