epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.027335183694958687,-7.8579583168029785
0,9,0.03755363076925278,,-0.13326270878314972,,,
1,19,,,,,0.006592323537915945,-0.42132699489593506
1,19,0.0052504027262330055,,0.8390399217605591,,,
2,29,,,,,0.001638168003410101,0.6595433354377747
2,29,0.0025394584517925978,,0.9249703288078308,,,
3,39,,,,,0.001175352488644421,0.7630195617675781
3,39,0.0015715401386842132,,0.9540513157844543,,,
4,49,,0.0009841917781159282,,0.9698053002357483,,
4,49,,,,,0.0015438726404681802,0.7503820657730103
4,49,0.0011023294646292925,,0.9665384292602539,,,
5,59,,,,,0.0008592099184170365,0.606785237789154
5,59,0.0011183867463842034,,0.9665419459342957,,,
6,69,,,,,0.00097657588776201,0.8374918699264526
6,69,0.0009357798844575882,,0.9723418354988098,,,
7,79,,,,,0.002155117690563202,0.5850680470466614
7,79,0.0009569317335262895,,0.971037745475769,,,
8,89,,,,,0.0007991839665919542,0.7728652358055115
8,89,0.0019345397595316172,,0.943069577217102,,,
9,99,,0.0009675509063526988,,0.9738940596580505,,
9,99,,,,,0.0012144340435042977,0.7225854992866516
9,99,0.000820542685687542,,0.9750688672065735,,,
10,109,,,,,0.001168588874861598,0.7656696438789368
10,109,0.0011176891857758164,,0.9662927389144897,,,
11,119,,,,,0.0007471415447071195,0.6728449463844299
11,119,0.0007581735262647271,,0.9776226282119751,,,
12,129,,,,,0.00040149749838747084,0.9173107743263245
12,129,0.0012228927807882428,,0.963834285736084,,,
13,139,,,,,0.0007539264624938369,0.6512529850006104
13,139,0.0010752485832199454,,0.9673857688903809,,,
14,149,,0.00250807567499578,,0.9321447610855103,,
14,149,,,,,0.0005167771596461535,0.8933200836181641
14,149,0.0008996088872663677,,0.9741957783699036,,,
