epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.029445677995681763,-7.718745708465576
0,9,0.037715911865234375,,-0.1456114947795868,,,
1,19,,,,,0.007896162569522858,-0.5713347792625427
1,19,0.00536381546407938,,0.8354399800300598,,,
2,29,,,,,0.002032863674685359,0.641338050365448
2,29,0.0025821661110967398,,0.9235177040100098,,,
3,39,,,,,0.0017784141236916184,0.7016875147819519
3,39,0.0016012430423870683,,0.9530473947525024,,,
4,49,,0.0010252208448946476,,0.9695287942886353,,
4,49,,,,,0.00220076204277575,0.6586939692497253
4,49,0.0011675746645778418,,0.9645708799362183,,,
5,59,,,,,0.0012844545999541879,0.5471000671386719
5,59,0.0011743040522560477,,0.9648808240890503,,,
6,69,,,,,0.0015738707734271884,0.770882248878479
6,69,0.0009511638199910522,,0.9719424247741699,,,
7,79,,,,,0.00289031770080328,0.5201380848884583
7,79,0.0010648510651662946,,0.9678052067756653,,,
8,89,,,,,0.0015041602309793234,0.6541540622711182
8,89,0.0019206820288673043,,0.9437018632888794,,,
9,99,,0.0009245748515240848,,0.9746525883674622,,
9,99,,,,,0.0018554993439465761,0.6349658966064453
9,99,0.0008668098598718643,,0.9736512303352356,,,
10,109,,,,,0.0018504339968785644,0.6752036213874817
10,109,0.0012239774223417044,,0.9629415273666382,,,
11,119,,,,,0.001046381308697164,0.6167077422142029
11,119,0.0008371736039407551,,0.9752355813980103,,,
12,129,,,,,0.0007617601077072322,0.8706666827201843
12,129,0.001279015326872468,,0.9619842767715454,,,
13,139,,,,,0.000989041174761951,0.6318850517272949
13,139,0.0010362411849200726,,0.968690037727356,,,
14,149,,0.0026640621945261955,,0.9269013404846191,,
14,149,,,,,0.0009053586982190609,0.8519463539123535
14,149,0.0009566048393025994,,0.9723436236381531,,,
