epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.03384077548980713,-25.878164291381836
0,9,0.036860231310129166,,-0.037744808942079544,,,
1,19,,,,,0.005999469198286533,-3.2710084915161133
1,19,0.00448706466704607,,0.8653833270072937,,,
2,29,,,,,0.001744703040458262,0.5004664063453674
2,29,0.002627291716635227,,0.9241795539855957,,,
3,39,,,,,0.002659234218299389,-0.2532336115837097
3,39,0.0015284322435036302,,0.9549530148506165,,,
4,49,,0.0017739346949383616,,0.9527405500411987,,
4,49,,,,,0.0046035307459533215,-2.1980819702148438
4,49,0.00120502186473459,,0.9656975865364075,,,
5,59,,,,,0.001067549455910921,0.5763708353042603
5,59,0.0011921130353584886,,0.9652724266052246,,,
6,69,,,,,0.0009706616401672363,0.6652600765228271
6,69,0.0010909204138442874,,0.9687116742134094,,,
7,79,,,,,0.0007126706768758595,0.7728230953216553
7,79,0.0011615065159276128,,0.9660859107971191,,,
8,89,,,,,0.0011619963916018605,0.26742592453956604
8,89,0.0012389726471155882,,0.964066207408905,,,
9,99,,0.001321928109973669,,0.958059549331665,,
9,99,,,,,0.004420203156769276,-2.3875715732574463
9,99,0.000978788360953331,,0.9705145955085754,,,
10,109,,,,,0.009702692739665508,-6.423988342285156
10,109,0.0022389362566173077,,0.9345747828483582,,,
11,119,,,,,0.001060747541487217,0.38750579953193665
11,119,0.0016456369776278734,,0.9517143964767456,,,
12,129,,,,,0.0015632286667823792,-0.027339693158864975
12,129,0.0008970982162281871,,0.974299430847168,,,
13,139,,,,,0.0009809001348912716,0.7020583748817444
13,139,0.0015219526831060648,,0.9555244445800781,,,
14,149,,0.0040052505210042,,0.8744586706161499,,
14,149,,,,,0.0006984150386415422,0.8025912046432495
14,149,0.0014140247367322445,,0.9569224119186401,,,
