epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.03138957545161247,-24.750762939453125
0,9,0.0382048524916172,,-0.12702688574790955,,,
1,19,,,,,0.004518360365182161,-2.519717216491699
1,19,0.004450350068509579,,0.8600225448608398,,,
2,29,,,,,0.0012385385343804955,0.5776824355125427
2,29,0.0026495493948459625,,0.9197911024093628,,,
3,39,,,,,0.0018213697476312518,0.06500986963510513
3,39,0.0014490295434370637,,0.9549204707145691,,,
4,49,,0.0015859378036111593,,0.9566891193389893,,
4,49,,,,,0.003056799992918968,-1.2315095663070679
4,49,0.0010848597157746553,,0.9676815867424011,,,
5,59,,,,,0.0008551550563424826,0.5760539174079895
5,59,0.001105530303902924,,0.9660019874572754,,,
6,69,,,,,0.0006227326230145991,0.7087380290031433
6,69,0.0009788975585252047,,0.9705613255500793,,,
7,79,,,,,0.0005173488170839846,0.7353440523147583
7,79,0.0010986929992213845,,0.9663528203964233,,,
8,89,,,,,0.0007968510617502034,0.3782009184360504
8,89,0.0011642922181636095,,0.9645423889160156,,,
9,99,,0.0012207489926367998,,0.958579421043396,,
9,99,,,,,0.0038397067692130804,-2.270228862762451
9,99,0.0009281501406803727,,0.9706934094429016,,,
10,109,,,,,0.008399583399295807,-5.812103271484375
10,109,0.0022315667010843754,,0.9315338134765625,,,
11,119,,,,,0.0006301370449364185,0.5554187893867493
11,119,0.0015742828836664557,,0.9513535499572754,,,
12,129,,,,,0.0012395988451316953,-0.009551340714097023
12,129,0.0007756868726573884,,0.9767427444458008,,,
13,139,,,,,0.0005140525754541159,0.819035530090332
13,139,0.0013344392646104097,,0.9591988325119019,,,
14,149,,0.0034600552171468735,,0.8885669708251953,,
14,149,,,,,0.00034727578167803586,0.8738256692886353
14,149,0.0012528803199529648,,0.9600640535354614,,,
