epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.034629903733730316,-27.024824142456055
0,9,0.03720063716173172,,-0.029585951939225197,,,
1,19,,,,,0.0060441563837230206,-3.196673631668091
1,19,0.0044004530645906925,,0.8708745241165161,,,
2,29,,,,,0.0017796613974496722,0.5533010959625244
2,29,0.0025929457042366266,,0.9263631701469421,,,
3,39,,,,,0.0025712582282721996,-0.14182148873806
3,39,0.00148255645763129,,0.9572412371635437,,,
4,49,,0.0016812302637845278,,0.9564573764801025,,
4,49,,,,,0.004282599780708551,-2.017124652862549
4,49,0.0011491496115922928,,0.9680260419845581,,,
5,59,,,,,0.0009428718476556242,0.6103435754776001
5,59,0.0011648329673334956,,0.9667073488235474,,,
6,69,,,,,0.0007674769731238484,0.7351410984992981
6,69,0.0011089493054896593,,0.9689887166023254,,,
7,79,,,,,0.0006129916291683912,0.7972860932350159
7,79,0.0012683866079896688,,0.9637458920478821,,,
8,89,,,,,0.000995173933915794,0.33247143030166626
8,89,0.0011264693457633257,,0.9681331515312195,,,
9,99,,0.0013436989393085241,,0.9585174322128296,,
9,99,,,,,0.00431849155575037,-2.4515695571899414
9,99,0.0009710174053907394,,0.9714698791503906,,,
10,109,,,,,0.009767481125891209,-6.593554496765137
10,109,0.002189175458624959,,0.9373105764389038,,,
11,119,,,,,0.0009504537447355688,0.38756635785102844
11,119,0.0015230498975142837,,0.956562340259552,,,
12,129,,,,,0.0014108093455433846,0.07333140075206757
12,129,0.0008647898212075233,,0.9757294654846191,,,
13,139,,,,,0.0007945601246319711,0.7772078514099121
13,139,0.0015552223194390535,,0.9556538462638855,,,
14,149,,0.004279750399291515,,0.8666393160820007,,
14,149,,,,,0.0005375964683480561,0.8711216449737549
14,149,0.001446448382921517,,0.956752598285675,,,
